"hashtag_name","hashtag_name"
"#nationalvoterregistrationday ","#nationalvoterregistrationday "
"#voterregistrationday         ","#makeamericagreatagain…       "
"#voterregistrationday         ","#voterregistrationday         "
"#makeamericagreatagain…       ","#makeamericagreatagain…       "
"#makeamericagreatagain…       ","#voterregistrationday         "
"#maga                         ","#maga                         "
"#imwithyou                    ","#imwithyou                    "
"#maga                         ","#maga                         "
"#nationalvoterregistrationday ","#nationalvoterregistrationday "
"#lovetrumpshate               ","#lovetrumpshate               "
"#strongertogether             ","#strongertogether             "
"#nationalvoterregistrationday ","#nationalvoterregistrationday "
"#nationalvoterregistrationday ","#nationalvoterregistrationday "
"#debates2016                  ","#nationalvoterregistrationday "
"#debates2016                  ","#debates2016                  "
"#nationalvoterregistrationday ","#nationalvoterregistrationday "
"#nationalvoterregistrationday ","#debates2016                  "
"#maga                         ","#maga                         "
"#shewon…                      ","#shewon…                      "
"#iregistered…                 ","#iregistered…                 "
"#nationalvoterregistrationday ","#nationalvoterregistrationday "
"#shewon                       ","#shewon                       "
"#americafirst                 ","#imwithyou…                   "
"#americafirst                 ","#maga                         "
"#americafirst                 ","#americafirst                 "
"#maga                         ","#imwithyou…                   "
"#maga                         ","#maga                         "
"#maga                         ","#americafirst                 "
"#imwithyou…                   ","#imwithyou…                   "
"#imwithyou…                   ","#maga                         "
"#imwithyou…                   ","#americafirst                 "
"#nationalvoterregistrationday ","#nationalvoterregistrationday "
"#shewon                       ","#shewon                       "
"#shewon                       ","#shewon                       "
"#trumpwon                     ","#maga                         "
"#trumpwon                     ","#trumpwon                     "
"#maga                         ","#maga                         "
"#maga                         ","#trumpwon                     "
"#1                            ","#trumpwon                     "
"#1                            ","#1                            "
"#trumpwon                     ","#trumpwon                     "
"#trumpwon                     ","#1                            "
"#shewon                       ","#shewon                       "
"#debatenight                  ","#debatenight                  "
"#maga…                        ","#maga…                        "
"#debatenight                  ","#imwithyou…                   "
"#debatenight                  ","#americafirst                 "
"#debatenight                  ","#debatenight                  "
"#americafirst                 ","#imwithyou…                   "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#debatenight                  "
"#imwithyou…                   ","#imwithyou…                   "
"#imwithyou…                   ","#americafirst                 "
"#imwithyou…                   ","#debatenight                  "
"#debatenight                  ","#maga                         "
"#debatenight                  ","#americafirst                 "
"#debatenight                  ","#debatenight                  "
"#americafirst                 ","#maga                         "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#debatenight                  "
"#maga                         ","#maga                         "
"#maga                         ","#americafirst                 "
"#maga                         ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#americafirst                 ","#debates2016                  "
"#americafirst                 ","#americafirst                 "
"#debates2016                  ","#debates2016                  "
"#debates2016                  ","#americafirst                 "
"#americafirst…                ","#americafirst…                "
"#debates2016                  ","#maga                         "
"#debates2016                  ","#debates2016                  "
"#maga                         ","#maga                         "
"#maga                         ","#debates2016                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#imwithher                    ","#imwithher                    "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#benghazi                     ","#debatenight                  "
"#benghazi                     ","#debates2016                  "
"#benghazi                     ","#benghazi                     "
"#debates2016                  ","#debatenight                  "
"#debates2016                  ","#debates2016                  "
"#debates2016                  ","#benghazi                     "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debates2016                  "
"#debatenight                  ","#benghazi                     "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#isis                         ","#debatenight                  "
"#isis                         ","#isis                         "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#isis                         "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debate                       ","#debate                       "
"#debates2016                  ","#debates2016                  "
"#debates2016                  ","#maga                         "
"#debates2016                  ","#debates2016                  "
"#maga                         ","#maga                         "
"#maga                         ","#debates2016                  "
"#debatenight                  ","#debatenight                  "
"#debate                       ","#debate                       "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debate…                      ","#debate…                      "
